Route_Short_Name,Route_Long_Name,Number_of_Bus-Only-Lanes,daily_trips,peak_trips,peak_headway_minutes,non_peak_headway_minutes,Traffic_Volume,Incidents,estimated_riders,priority_metric,incident_to_volume_ratio,volume_to_incident_ratio,normalized_incident_ratio,normalized_volume_ratio,flow_impedance,Cluster,Has_Bus_Lane
2,Mount Pleasant/Killarney 17 Av SW,0,392,90,10.4452381,12.47740275,767000,2104,13660.0,44.606652437538855,0.0027431551499348104,364.37054631828977,4.76242213530349e-16,0.1995362515552539,28.813620589075313,0,False
5,North Haven,0,191,42,11.21052632,12.44776119,563000,1997,6715.666667,39.61814969310055,0.0035470692717584364,281.7817817817818,6.158106374580619e-16,0.15430907097573762,23.860766545582194,0,False
81,Macleod Tr S,0,138,36,20.95238095,19.79371921,140000,1258,5126.833333,32.337693688255435,0.008985714285714281,111.19936457505958,1.5600198412698405e-15,0.060894890124437384,10.493658890996238,1,False
421,Panatella,0,169,48,10.78947368,18.47826087,0,130,5588.833333,26.874354501862275,1300000000000.0,0.0,0.22569444444444445,0.0,7.5494318559925455,1,False
7,Marda Loop,0,314,66,10.97697368,12.12743252,521000,1500,9893.833333,38.06437010725164,0.0028790786948176576,347.10193204530316,4.998400511836211e-16,0.19007962945338028,19.996358237436855,0,False
82,Nolan Hill,0,308,80,11.77467105,15.51272727,391600,746,10033.5,34.52424839375773,0.0019050051072522977,524.2302543507362,3.307300533424128e-16,0.28707847262064123,12.745321221752242,1,False
54,Edgevalley,0,124,28,15.75,18.2,0,210,4352.333333,25.86164971806796,2100000000000.0,0.0,0.3645833333333333,0.0,12.195236075064882,1,False
95,Palliser,0,30,16,32.0,32.0,53000,210,1898.0,30.546957798892986,0.003962264150943389,251.18483412322274,6.87893081761005e-16,0.13755359963890768,2.3780125508442094,1,False
154,Hamptons,0,120,28,17.75,19.74418605,0,214,4256.666667,25.96705288443415,2140000000000.0,0.0,0.3715277777777778,0.0,12.4275262860185,1,False
19,16 Avenue North,0,310,64,14.97527473,15.68154762,749510,1722,11131.33333,41.70696272606283,0.0022975010340088855,435.0029019152641,3.988717072932093e-16,0.2382158748583589,26.156047539331055,0,False
422,Dalhousie/Montgomery,0,166,48,24.0,29.18552036,80000,185,6058.166667,28.17365297859859,0.002312499999999997,430.10752688172045,4.0147569444444387e-16,0.23553507424475165,2.798988949605,1,False
138,Citadel,0,270,58,15.32051282,17.08523409,122660,325,8856.5,28.900760391616835,0.0026496005217674853,376.25766871165644,4.600000905846329e-16,0.20604586619924042,4.539196542857287,1,False
76,Hawkwood,0,280,60,15.21428571,17.01257862,0,148,8941.5,26.91675872384235,1480000000000.0,0.0,0.2569444444444444,0.0,8.59473780528382,1,False
94,Strathcona/Signal Hill,0,212,58,15.99025974,22.78338633,0,122,6908.666667,27.103048047625173,1220000000000.0,0.0,0.21180555555555555,0.0,7.084851434085312,1,False
125,Cedarbrae,0,64,16,30.0,30.33333333,53000,241,2500.333333,26.332571474762496,0.004547169811320746,219.0082644628099,7.894392033542961e-16,0.11993309720582447,2.5636783524014093,1,False
111,Old Banff Coach Road,0,216,56,16.55594406,20.56756757,102000,520,6981.0,29.56441680391442,0.00509803921568627,195.77735124760076,8.850762527233107e-16,0.10721140663559088,5.270397874212147,1,False
113,North Ranchlands/Scenic Acres,0,138,32,32.0,31.72735507,52000,136,5184.833333,26.482741939132527,0.00261538461538461,379.5620437956204,4.540598290598281e-16,0.20785540493569687,1.9136730228731218,1,False
164,Aspen Summit,0,272,62,15.19230769,17.06142857,59000,300,8456.833333,28.20866068814284,0.005084745762711855,196.01328903654485,8.827683615819194e-16,0.10734061066286979,3.0438660492756093,1,False
120,Silver Springs,0,220,54,15.46590909,22.02530364,197000,216,6953.833333,29.12494499718621,0.0010964467005076138,907.8341013824885,1.903553299492385e-16,0.49714724599517224,5.457717914674998,1,False
134,Rockland Park,0,94,20,50.0,50.0,201410,241,3294.666667,27.562701756481378,0.001196564222233255,832.2727272727273,2.077368441377179e-16,0.4557683982683982,5.700663857503406,1,False
299,Arbour Lake,0,148,32,15.0,15.25454545,52000,41,4868.333333,25.750185986420483,0.0007884615384615369,1238.095238095238,1.368856837606835e-16,0.6780045351473922,1.3446971793913796,1,False
40,Crowfoot Station/North Hill,0,196,54,22.97727273,27.95625,475000,1125,7476.333333,36.34268806023632,0.0023684210526315782,421.8472468916519,4.1118421052631566e-16,0.23101158758352364,16.778085528726823,0,False
97,South Ranchlands/Scenic Acres,0,258,56,16.08333333,16.87123227,52000,122,7989.0,27.098180132146087,0.0023461538461538416,422.7642276422764,4.0731837606837526e-16,0.23151374370886563,1.8298239512021284,1,False
53,Brentwood Station/Greenwood,0,262,56,15.91666667,18.51689612,136000,371,8504.0,29.09400773459077,0.0027279411764705866,365.59139784946234,4.736008986928102e-16,0.2002048131080389,5.096672110714997,1,False
51,West Springs/Discovery Ridge,0,256,74,13.375,18.90836102,54040,264,8791.0,29.098717775499427,0.004885270170244254,203.9245283018868,8.481371823340719e-16,0.11167295597484277,2.72341318239371,1,False
126,Braeside,0,146,32,10.0,10.2804878,53000,241,4668.0,26.541794482909374,0.004547169811320746,219.0082644628099,7.894392033542961e-16,0.11993309720582447,2.5636783524014093,1,False
13,Altadore,0,268,60,13.1092437,14.18324231,577000,1504,9454.166667,38.74875568329745,0.0026065857885615245,383.3887043189369,4.52532254958598e-16,0.20995095712703687,21.204003466823952,0,False
37,Heritage Station/Canyon Meadows,0,436,102,9.46780303,10.9808642,81000,196,12875.5,29.553728093639574,0.00241975308641975,411.16751269035535,4.200960219478733e-16,0.22516316171138506,2.886007655056616,1,False
131,East Bow Express,1,16,8,20.0,20.0,851000,1750,2484.166667,40.786267332203394,0.0020564042303172735,486.00799543118217,3.570146233189711e-16,0.2661472355932664,28.468969447330434,0,True
151,New Brighton Express,3,8,4,55.0,50.0,1892390,5008,1885.0,56.60679040000309,0.0026463889578786613,377.7979636654023,4.594425274094898e-16,0.20688936105486314,69.99401078059493,3,True
124,Evanston,0,424,120,8.166666667,12.64193303,62210,243,13144.66667,30.415204235729725,0.0039061244172962483,254.95901639344262,6.781466002250431e-16,0.1396204137392662,2.7703312504931974,1,False
115,Symons Valley Parkway,0,288,70,14.15546218,16.571513,90210,619,9800.666667,30.489478329015775,0.006861766988138779,145.5,1.1912789909963158e-15,0.07967857142857142,5.614121922683267,1,False
414,14 St W,0,116,38,23.64285714,44.05,415000,809,4809.833333,34.416049328855124,0.0019493975903614453,512.3456790123457,3.3843708165997315e-16,0.28057025279247505,13.61725467697427,1,False
22,Richmond Rd SW,0,262,58,10.37426901,12.169695,665000,1604,8435.166667,39.70779364516665,0.0024120300751879695,414.3302180685358,4.1875522138680026e-16,0.2268951194184839,23.663007102964603,0,False
52,Evergreen/Somerset-Bridlewood Station,0,171,38,15.03846154,15.78067633,134000,473,6375.0,28.92600078289993,0.0035298507462686543,282.70042194092827,6.128213101160858e-16,0.15481213582479403,5.665297906040559,1,False
6,Killarney/26 Av SW,0,337,76,12.05882353,13.99758065,605000,1602,10640.33333,39.846537683391134,0.00264793388429752,377.4173424828447,4.597107438016528e-16,0.2066809256453673,22.382791144404305,0,False
404,North Hill,0,102,32,22.83333333,31.47321429,40000,346,4143.5,28.166455947388325,0.008649999999999977,115.27377521613833,1.5017361111111072e-15,0.06312611499931385,2.917761593988005,1,False
62,Hidden Valley Express,2,12,6,35.0,27.0,479000,1647,1461.0,32.111941832664456,0.0034384133611691015,290.65533980582524,5.969467640918579e-16,0.15916840036985666,19.989007226157167,2,True
304,MAX Yellow Woodpark/City Centre,0,514,144,6.588235294,9.649726402,994000,2842,15427.66667,51.33421643517539,0.0028591549295774645,349.6306718255364,4.963810641627542e-16,0.191464415523508,38.031829793072376,0,False
104,Sunnyside/University of Calgary,0,266,62,15.83516484,17.86458333,178000,522,8396.333333,30.415395131646328,0.00293258426966292,340.34416826003826,5.091292134831458e-16,0.18637894928525903,6.888810504705811,1,False
91,Foothills Medical Centre,0,408,92,9.734090909,10.49833275,256000,467,11341.33333,31.852912149031308,0.0018242187499999995,547.008547008547,3.167046440972221e-16,0.2995522995522995,8.20811221310211,1,False
66,Lakeview,0,318,74,13.07169118,15.84785714,650000,1301,10051.0,39.04429438508451,0.0020015384615384613,499.23195084485405,3.474893162393162e-16,0.27338892546265814,21.531214243290584,0,False
90,Bridgeland/University of Calgary,1,268,62,15.46428571,15.6620776,975000,2130,8982.0,41.42098784956914,0.0021846153846153842,457.5316752698264,3.7927350427350423e-16,0.2505530602668097,33.36589702874102,0,True
303,MAX Orange Brentwood/Saddletowne,0,622,154,6.287351443,8.067940467,908510,3497,18125.66667,53.39913373165353,0.0038491596129927017,259.72269868496284,6.682568772556774e-16,0.14222909689890822,40.14774141066979,0,False
77,Edgemont,0,124,28,19.18181818,21.86486486,0,160,4351.0,25.661577040774088,1600000000000.0,0.0,0.2777777777777778,0.0,9.29160843814467,1,False
306,MAX Teal Westbrook/Douglas Glen,0,408,96,14.65909091,13.78501229,637780,2347,11861.83333,43.71981481650993,0.0036799523346608544,271.62691652470187,6.388806136563983e-16,0.14874807333495577,27.537640032805612,0,False
129,Dalhousie Station/Sage Hill,0,261,64,15.34615385,17.6541502,58380,420,8368.333333,28.92888247517964,0.007194244604316534,138.66983372921615,1.2490007993605094e-15,0.07593824228028503,3.749467256846707,1,False
93,Coach Hill/Westbrook Station,0,268,56,15.83333333,17.80346939,59000,561,9303.333333,29.22129502889011,0.00950847457627117,104.98220640569394,1.6507768361581894e-15,0.057490255888832394,4.60705231399913,1,False
123,Sage Hill/North Pointe Terminal,0,308,90,10.46666667,18.23506289,206600,399,10491.16667,31.85131780750574,0.0019312681510164562,516.5,3.352896095514681e-16,0.2828452380952381,6.756663068962997,1,False
105,Dalhousie Station/Lions Park Station,0,232,58,15.33974359,17.6547619,114000,510,7714.666667,29.740889097523798,0.004473684210526312,223.09197651663405,7.76681286549707e-16,0.12216941571149006,5.464153184111467,1,False
9,Dalhousie Station/Chinook Station,0,382,92,10.1395881,14.2004329,938000,2566,13016.5,48.22999548154721,0.002735607675906183,365.4070899883132,4.749318881781568e-16,0.2001038826126477,35.195116885506,0,False
